word	onset	duration
WOULD	0.0125	1.6300
YOU	1.9725	0.3800
LET	2.3525	0.2400
IT	2.5925	0.1400
GO	2.7325	0.5300
IT'S	3.2625	0.2100
NOT	3.4725	0.2000
THAT	3.6725	0.1500
BIG	3.8225	0.1700
A	3.9925	0.0300
DEAL	4.0225	0.3100
NOT	4.3325	0.1700
THAT	4.5025	0.1400
BIG	4.6425	0.1700
A	4.8125	0.0300
DEAL	4.8425	0.2500
IT'S	5.0925	0.2200
AMAZING	5.3125	0.9800
OKAY	6.2925	0.3200
YOU	6.6125	0.0900
JUST	6.7025	0.2300
REACH	6.9325	0.3600
IN	7.2925	0.1600
THERE	7.4525	0.1400
THERE'S	7.5925	0.1800
ONE	7.7725	0.1700
LITTLE	7.9425	0.2000
MANEUVER	8.1425	0.6900
AND	8.8325	0.1400
BAM	8.9725	0.3500
A	9.3725	0.1200
BRA	9.4925	0.5200
RIGHT	10.1825	0.3100
OUT	10.4925	0.1500
THE	10.6425	0.0800
SLEEVE	10.7225	1.1000
AS	11.8225	0.7300
FAR	12.5525	0.2000
AS	12.7525	0.1000
I'M	12.8525	0.1200
CONCERNED	12.9725	0.4200
THERE	13.3925	0.1300
IS	13.5225	0.1700
NOTHING	13.6925	0.7500
A	14.4425	0.2000
GUY	14.6425	0.2700
CAN	14.9125	0.1800
DO	15.0925	0.1100
THAT	15.2025	0.1700
EVEN	15.3725	0.1900
COMES	15.5625	0.2600
CLOSE	15.8225	0.5200
AM	16.3425	0.1500
I	16.4925	0.0700
RIGHT	16.5625	0.2100
HERE	16.7725	0.1000
OH	16.8725	0.3800
COME	17.2525	0.1700
ON	17.4225	0.8300
YOU	18.2525	0.1000
GUYS	18.3525	0.3000
CAN	18.6525	0.2100
PEE	18.8625	0.4400
STANDING	19.3025	0.5200
UP	19.8225	0.3500
WE	20.2425	0.1500
CAN	20.3925	0.3800
OKAY	20.7725	0.3500
I'M	21.1425	0.1400
TRYING	21.2825	0.3300
THAT	22.1825	1.8300
ALL	24.0125	0.0600
RIGHT	24.0725	0.2300
YOU	24.3025	0.0800
KNOW	24.3825	0.1600
WHAT	24.5425	0.1400
BLOWS	24.6825	0.2400
MY	24.9225	0.1700
MIND	25.0925	0.3500
WOMEN	26.0825	0.4600
CAN	26.8225	0.2000
SEE	27.0225	0.2800
BREASTS	27.3025	0.5800
ANYTIME	27.9525	0.4900
THEY	28.4425	0.0900
WANT	28.5325	0.3100
YOU	28.8425	0.0600
JUST	28.9625	0.2500
LOOK	29.2125	0.1100
DOWN	29.3225	1.8300
AND	31.5225	0.3400
THERE	31.8925	0.6100
THEY	32.5025	0.1600
ARE	32.6625	0.3100
HOW	33.0825	0.8600
YOU	33.9425	0.1300
GET	34.0725	0.1400
ANY	34.2125	0.1800
WORK	34.3925	0.2600
DONE	34.6525	0.1600
IS	34.8125	0.1100
BEYOND	34.9225	0.3900
ME	35.3125	0.1300
OKAY	35.6225	0.1500
YOU	35.7725	0.0900
KNOW	35.8625	0.0900
WHAT	35.9525	1.9600
I	37.9125	0.6000
DON'T	38.5125	0.4400
GET	38.9525	0.2700
THE	39.4725	0.0700
WAY	39.5425	0.1400
GUYS	39.6825	0.3100
CAN	39.9925	0.1500
