word	onset	duration
So	1.6025	0.2000
what	1.8025	0.1100
are	1.9125	0.0300
you	1.9425	0.0700
gonna	2.0125	0.2000
you	2.2125	0.1100
do	2.3225	0.2200
You	2.6025	0.0900
have	2.6925	0.1500
to	2.8425	0.1100
tell	2.9525	0.1900
her	3.1425	0.4100
You	3.5525	0.0800
have	3.6325	0.3100
to	3.9425	0.1000
tell	4.0425	0.2100
her	4.2525	0.1400
It's	4.3925	0.1200
your	4.5125	0.1000
moral	4.6125	0.5100
obligation	5.1225	0.7200
as	5.8425	0.1400
a	5.9825	0.0300
friend	6.0125	0.3700
as	6.3825	0.1800
a	6.5625	0.0400
woman	6.6025	0.4100
I	7.0125	0.0800
think	7.0925	0.1700
it's	7.2625	0.1200
a	7.3825	0.0300
feminist	7.4125	0.5400
issue	7.9525	0.2900
Guys	8.2425	0.5200
Guys	8.7625	0.4500
Oh	9.2125	0.1200
yeah	9.3625	0.1800
you	9.5425	0.0900
have	9.6325	0.5700
to	10.2025	0.1400
tell	10.3425	0.7800
her	11.1225	0.1000
Feminist	11.6325	0.4100
issue	12.0425	0.3200
That's	12.3625	0.2000
where	12.5625	0.2300
I	12.7925	0.1100
went	13.5525	1.5800
She	15.5325	0.2200
is	15.7525	0.1700
gonna	15.9225	0.2600
hate	16.3325	0.2500
me	16.5825	0.2400
Yeah	16.8225	0.2400
well	17.1325	0.2100
Will	17.5825	0.1200
you	17.7025	0.1200
pick	17.8225	0.1000
one	17.9225	9.0600
Just	26.9825	0.3000
pick	27.5125	0.3100
one	27.8225	0.3300
Here	28.3125	0.2300
how	28.7425	0.1100
about	28.8525	0.1900
that	29.0425	0.2200
one	29.2625	0.2000
That's	30.3725	0.2400
patio	30.6125	0.3700
furniture	30.9825	0.4700
So	31.9325	0.0900
what	32.0225	1.8200
Like	33.8425	0.1800
people	34.0225	0.2600
are	34.2825	0.0300
gonna	34.3125	0.1600
come	34.4725	0.2700
in	34.7425	0.1100
and	34.8525	0.1200
think	34.9725	0.2000
Uhoh	35.1725	0.4100
I'm	35.6625	0.1300
outside	35.7925	0.4700
again	36.2625	0.3700
Fine	36.6325	0.2900
What	36.9225	1.8600
about	39.0825	0.3000
the	39.3825	0.2000
birds	39.6125	0.5500
I	42.3325	0.1000
don't	42.4325	0.1500
know	42.5825	0.2400
Birds	42.8225	0.4000
just	43.2225	0.2100
don't	43.4325	0.1600
say	43.5925	0.4400
Hello	44.0325	0.4700
sit	44.5025	0.3500
here	44.8525	0.3100
Eat	45.1625	0.1700
something	45.3325	0.4600
You	45.7925	0.1400
pick	46.0325	0.2700
one	46.3025	2.0400
How	49.0425	0.2900
about	49.6925	0.2400
the	49.9325	0.0600
ladybugs	49.9925	0.6700
Oh	51.2625	0.1700
so	51.4325	0.2800
forget	51.8325	0.2600
about	52.0925	0.1600
the	52.2525	0.0700
birds	52.3225	0.4700
but	52.7925	0.1300
big	52.9225	0.2300
red	53.1525	0.2500
insects	53.5425	0.6800
suggest	54.2225	0.3600
fine	54.5825	0.2800
dining	54.8625	1.7300
Fine	56.5925	0.4000
Do	56.9925	0.3800
you	57.3925	0.1400
want	57.5325	0.4900
the	58.0225	0.2700
birds	58.2925	0.9400
Get	59.2325	2.4800
the	63.4525	0.4300
birds	63.8825	0.5400
Not	64.5825	0.1700
like	65.5325	0.1400
that	65.7625	1.9900
I	67.7525	0.1600
won't	68.0925	7.7200
Kip	76.3325	0.6600
would've	77.0925	0.3500
liked	77.4825	0.6600
the	78.4325	0.2200
birds	78.6525	0.1800
Hey	78.8325	0.4100
Hi	79.8125	0.5700
Pheebs	80.4325	0.5100
Are	80.9725	0.0400
you	81.0125	0.0600
moving	81.1125	0.4300
out	82.2425	0.4600
No	84.0425	0.1600
these	84.2025	0.3900
aren't	84.5925	0.8700
all	85.4625	0.1000
of	85.9225	1.9600
my	88.0225	0.4200
suitcases	88.4425	0.6300
This	89.4725	0.1700
one's	89.6425	0.2000
Paolo's	89.8425	0.6300
Um	91.2225	1.5400
Um	92.7625	0.3800
Rachel	94.2425	0.3200
can	94.6125	0.2200
we	94.8325	0.0800
talk	94.9125	0.3500
for	95.3225	0.1400
a	95.4625	0.0300
sec	95.4925	0.2500
Well	96.7825	0.1600
sure	97.3925	0.5300
Just	98.2825	0.1800
