word	onset	duration	onset_TRs	duration_TRs
NONE	0.0125	0.09	0.008389261744966443	0.060402684563758385
OF	0.1025	0.06	0.06879194630872483	0.040268456375838924
THAT	0.1625	0.09	0.10906040268456377	0.060402684563758385
NOT	0.2525	0.09	0.16946308724832215	0.060402684563758385
WHILE	0.3425	0.09	0.22986577181208057	0.060402684563758385
YOU'RE	0.4325	1.53	0.2902684563758389	1.0268456375838926
LIVING	5.1725	1.15	3.4714765100671143	0.7718120805369127
UNDER	7.2125	1.28	4.840604026845638	0.8590604026845637
MY	8.4925	0.21	5.699664429530201	0.14093959731543623
ROOF	8.7025	0.72	5.840604026845638	0.4832214765100671
WHAT	9.4925	2.36	6.370805369127517	1.5838926174496644
LOOK	12.3425	0.19	8.283557046979865	0.12751677852348994
JUST	12.8125	0.14	8.598993288590604	0.09395973154362416
BECAUSE	12.9525	0.22	8.692953020134228	0.1476510067114094
I	13.1725	0.07	8.840604026845638	0.04697986577181208
KNOW	13.2425	0.36	8.88758389261745	0.24161073825503354
ABOUT	13.6025	0.27	9.129194630872483	0.18120805369127518
YOU	13.8725	0.15	9.310402684563758	0.10067114093959731
TWO	14.0225	0.19	9.411073825503356	0.12751677852348994
DOESN'T	14.2125	0.24	9.538590604026846	0.1610738255033557
MEAN	14.4525	0.14	9.699664429530202	0.09395973154362416
I	14.5925	0.03	9.793624161073826	0.020134228187919462
LIKE	14.6225	0.23	9.813758389261745	0.15436241610738255
LOOKING	14.8525	0.24	9.968120805369127	0.1610738255033557
AT	15.0925	0.18	10.129194630872483	0.12080536912751677
IT	15.6625	1.13	10.511744966442953	0.7583892617449663
AREN'T	16.9425	0.18	11.370805369127517	0.12080536912751677
YOU	17.1225	0.06	11.491610738255034	0.040268456375838924
SUPPOSED	17.1825	0.25	11.531879194630873	0.16778523489932887
TO	17.4325	0.06	11.699664429530202	0.040268456375838924
BE	17.4925	0.08	11.73993288590604	0.053691275167785234
AT	17.5725	0.08	11.793624161073827	0.053691275167785234
AN	17.6525	0.1	11.84731543624161	0.06711409395973154
AUDITION	17.7525	0.6	11.914429530201343	0.40268456375838924
FOR	18.4825	0.09	12.404362416107384	0.060402684563758385
ANOTHER	18.5725	0.21	12.464765100671142	0.14093959731543623
HOUR	18.7825	0.38	12.605704697986576	0.2550335570469799
WELL	19.4425	0.24	13.048657718120804	0.1610738255033557
I'M	19.6825	0.17	13.209731543624162	0.11409395973154364
SORRY	19.8525	0.58	13.323825503355705	0.38926174496644295
IF	20.4325	0.15	13.713087248322148	0.10067114093959731
I'M	20.5825	0.11	13.813758389261745	0.0738255033557047
NOT	20.6925	0.17	13.88758389261745	0.11409395973154364
A	20.8625	0.03	14.001677852348994	0.020134228187919462
MIDDLE	20.8925	0.31	14.021812080536911	0.2080536912751678
AGED	21.2025	0.23	14.229865771812081	0.15436241610738255
BLACK	21.4325	0.34	14.384228187919463	0.22818791946308728
WOMAN	21.7725	0.31	14.61241610738255	0.2080536912751678
AND	22.5425	1.81	15.129194630872483	1.214765100671141
I'M	24.4325	0.27	16.39765100671141	0.18120805369127518
ALSO	24.7025	0.48	16.578859060402685	0.3221476510067114
SORRY	25.1825	0.6	16.901006711409398	0.40268456375838924
IF	25.7825	0.13	17.303691275167786	0.087248322147651
SOMETIMES	25.9125	0.98	17.390939597315437	0.6577181208053691
I	26.8925	0.12	18.048657718120804	0.08053691275167785
GO	27.0125	0.23	18.129194630872483	0.15436241610738255
TO	27.2425	0.06	18.283557046979865	0.040268456375838924
THE	27.3025	0.1	18.323825503355703	0.06711409395973154
WRONG	27.4025	0.28	18.390939597315437	0.18791946308724833
AUDITION	27.6825	0.51	18.578859060402685	0.3422818791946309
OKAY	28.3125	0.13	19.001677852348994	0.087248322147651
LOOK	28.4425	0.09	19.088926174496645	0.060402684563758385
IF	28.5325	0.06	19.1493288590604	0.040268456375838924
I	28.5925	0.03	19.18959731543624	0.020134228187919462
HAVE	28.6225	1.23	19.20973154362416	0.825503355704698
TO	29.8525	0.15	20.03523489932886	0.10067114093959731
PRETEND	30.0025	0.64	20.13590604026846	0.42953020134228187
I	31.0525	0.24	20.840604026845636	0.1610738255033557
DON'T	31.4025	0.37	21.075503355704697	0.2483221476510067
KNOW	31.7725	0.33	21.323825503355707	0.2214765100671141
ABOUT	32.1025	0.41	21.54530201342282	0.2751677852348993
YOU	32.5125	0.13	21.82046979865772	0.087248322147651
TWO	32.6425	0.22	21.907718120805367	0.1476510067114094
THEN	32.8625	0.16	22.055369127516776	0.10738255033557047
YOU	33.0225	0.18	22.16275167785235	0.12080536912751677
TWO	33.2025	0.28	22.283557046979865	0.18791946308724833
ARE	33.4825	0.03	22.471476510067117	0.020134228187919462
GOING	33.5125	0.12	22.491610738255037	0.08053691275167785
TO	33.6325	0.06	22.572147651006713	0.040268456375838924
HAVE	33.6925	0.19	22.61241610738255	0.12751677852348994
TO	33.8825	0.07	22.73993288590604	0.04697986577181208
PRETEND	33.9525	0.27	22.786912751677853	0.18120805369127518
THERE'S	34.2225	0.14	22.968120805369125	0.09395973154362416
NOTHING	34.3625	0.23	23.06208053691275	0.15436241610738255
TO	34.5925	0.06	23.216442953020135	0.040268456375838924
KNOW	34.6525	0.23	23.256711409395976	0.15436241610738255
ABOUT	34.8825	0.3	23.411073825503355	0.20134228187919462
OKAY	36.7125	0.26	24.639261744966444	0.174496644295302
SORRY	37.2225	0.31	24.981543624161073	0.2080536912751678
OKAY	37.5325	0.11	25.18959731543624	0.0738255033557047
SORRY	37.6425	0.31	25.263422818791945	0.2080536912751678
I	39.3525	0.11	26.411073825503355	0.0738255033557047
CAN	39.4625	1.19	26.48489932885906	0.7986577181208053
HEAR	44.7125	0.77	30.008389261744966	0.5167785234899329
THAT	45.7925	2.51	30.733221476510064	1.6845637583892616
RACHEL'S	48.3025	0.28	32.41778523489933	0.18791946308724833
AT	48.5825	0.07	32.60570469798658	0.04697986577181208
WORK	48.6525	0.26	32.65268456375839	0.174496644295302
I	55.5325	0.19	37.27013422818792	0.12751677852348994
CAN	55.7225	0.15	37.397651006711406	0.10067114093959731
STILL	55.8725	1.0	37.49832214765101	0.6711409395973155
HEAR	56.8725	9.62	38.169463087248324	6.456375838926174
YOU	66.4925	0.46	44.6258389261745	0.3087248322147651
HEY	68.6025	10.35	46.04194630872484	6.946308724832215
HELLO	78.9525	29.03	52.988255033557046	19.483221476510067
HEY	107.9825	0.3	72.47147651006712	0.20134228187919462
HEY	108.5125	0.39	72.82718120805369	0.26174496644295303
WHAT'S	109.1725	0.17	73.27013422818791	0.11409395973154364
THAT	109.3425	0.29	73.38422818791946	0.19463087248322147
YEAH	109.7525	0.29	73.65939597315436	0.19463087248322147
MY	110.1825	0.17	73.94798657718121	0.11409395973154364
MOM	110.3525	0.35	74.06208053691276	0.2348993288590604
SENT	110.9525	0.19	74.46476510067114	0.12751677852348994
ME	111.1425	0.21	74.59228187919463	0.14093959731543623
A	111.3525	0.03	74.73322147651007	0.020134228187919462
FAMILY	111.3825	0.37	74.75335570469798	0.2483221476510067
HEIRLOOM	111.7525	0.4	75.00167785234899	0.2684563758389262
THAT	112.1525	0.13	75.27013422818793	0.087248322147651
ONCE	112.2825	0.23	75.35738255033557	0.15436241610738255
BELONGED	112.5425	0.28	75.53187919463087	0.18791946308724833
TO	112.8225	0.06	75.71979865771813	0.040268456375838924
MY	112.8825	0.14	75.76006711409396	0.09395973154362416
GRANDMOTHER	113.0225	0.72	75.85402684563758	0.4832214765100671
CAN	113.9425	0.15	76.4714765100671	0.10067114093959731
YOU	114.0925	0.09	76.57214765100672	0.060402684563758385
BELIEVE	114.1825	0.4	76.63255033557047	0.2684563758389262
IT	114.5825	0.17	76.9010067114094	0.11409395973154364
A	115.0825	0.12	77.23657718120805	0.08053691275167785
YEAR	115.2025	0.18	77.31711409395973	0.12080536912751677
AGO	115.3825	0.12	77.43791946308724	0.08053691275167785
I	115.5025	0.1	77.51845637583892	0.06711409395973154
DIDN'T	115.6025	0.15	77.58557046979867	0.10067114093959731
EVEN	115.7525	0.18	77.68624161073825	0.12080536912751677
HAVE	115.9325	0.22	77.80704697986577	0.1476510067114094
