episode	text_per_tr	words_per_tr	onsets_per_tr	durations_per_tr
s05e18a		[]	[]	[]
s05e18a	okay,	['okay']	[2.24]	[0.5]
s05e18a	 pick a card. okay.	['take', 'your', 'card', 'okay']	[2.8799999, 3.12, 3.28, 3.76]	[0.24000010000000005, 0.1599999999999997, 0.48, 0.5]
s05e18a	 all right. now...	['alright', 'now']	[4.88, 5.2799997]	[0.3999997000000004, 0.5]
s05e18a	 memorize it.	['memorize', 'it']	[5.92, 6.3999996]	[0.4799996000000002, 0.5]
s05e18a	 you got it? oh,	['you', 'got', 'it', 'oh']	[7.7599998, 7.9199996, 8.16, 8.4]	[0.15999979999999958, 0.24000040000000045, 0.2400000000000002, 0.15999899999999911]
s05e18a	 yes. okay. is	['yes', 'k', 'is']	[8.559999, 9.2, 9.775]	[0.5, 0.5, 0.5]
s05e18a	 that your card?	['that', 'your', 'card']	[10.655, 10.8949995, 11.054999]	[0.23999950000000148, 0.15999949999999963, 0.5]
s05e18a		[]	[]	[]
s05e18a		[]	[]	[]
s05e18a		[]	[]	[]
s05e18a	 yes.	['yes']	[16.015]	[0.5]
s05e18a		[]	[]	[]
s05e18a		['hey']	[20.32]	[0.3200010000000013]
s05e18a	 yeah, it is. hey, guys.	['guys', 'hi', 'hi', 'guys']	[20.640001, 21.12, 21.52, 21.76]	[0.4799989999999994, 0.3999999999999986, 0.240000000000002, 0.48000199999999893]
s05e18a	 hi,	['hi']	[22.240002]	[0.5]
s05e18a	 there!  hi! guess what. ben	['guess', 'what', 'ben']	[23.84, 24.16, 24.960001]	[0.3200000000000003, 0.5, 0.3199990000000028]
s05e18a	 is going to be  in a tv	['is', 'gonna', 'be', 'in', 'a', 'tv']	[25.28, 25.44, 25.76, 25.92, 26.08, 26.16]	[0.16000000000000014, 0.3200000000000003, 0.16000000000000014, 0.1599999999999966, 0.08000000000000185, 0.4800000000000004]
s05e18a	 commercial. what are you talking	['commercial', 'what', 'are', 'you', 'talking']	[26.64, 27.485, 27.725, 27.805, 27.885]	[0.5, 0.240000000000002, 0.0799999999999983, 0.08000000000000185, 0.3999999999999986]
s05e18a	 about? well, it's	"['about', 'well', ""it's""]"	[28.285, 28.925001, 29.565]	[0.5, 0.5, 0.16000000000000014]
s05e18a	 not for sure but,	['not', 'for', 'sure', 'but']	[29.725, 30.045, 30.205, 30.685001]	[0.3200000000000003, 0.1599999999999966, 0.48000100000000145, 0.3999999999999986]
s05e18a	 uh, we met this guy in the park	['we', 'met', 'this', 'guy', 'in', 'the', 'park']	[31.405, 31.645, 31.885, 31.965, 32.205, 32.285, 32.445]	[0.23999999999999844, 0.240000000000002, 0.0799999999999983, 0.23999999999999844, 0.0799999999999983, 0.1600000000000037, 0.240000000000002]
s05e18a	 who thought ben was really	['who', 'thought', 'ben', 'was', 'really']	[32.685, 32.845, 33.085, 33.405, 33.645]	[0.1599999999999966, 0.240000000000002, 0.3200000000000003, 0.240000000000002, 0.24000199999999694]
s05e18a	 cute, you know... which he	['cute', 'you', 'know', 'which', 'he']	[33.885002, 34.845, 34.925, 35.165, 35.325]	[0.5, 0.0799999999999983, 0.240000000000002, 0.1600000000000037, 0.1599999999999966]
s05e18a	 is. um, anyhoo,	['is', 'anyway']	[35.485, 36.62]	[0.5, 0.3200000000000003]
s05e18a	 he, uh, he gave us his card and	['he', 'he', 'gave', 'us', 'his', 'card', 'and']	[36.94, 37.5, 37.66, 37.82, 37.98, 38.14, 38.54]	[0.3200000000000003, 0.1599999999999966, 0.1600000000000037, 0.1599999999999966, 0.1600000000000037, 0.3999999999999986, 0.0799999999999983]
