word	onset	duration	onset_TRs	duration_TRs
LOOK	1.5925	0.34	1.0687919463087248	0.22818791946308728
AT	2.6525	4.29	1.7802013422818792	2.879194630872483
ALL	6.9425	0.25	4.659395973154362	0.16778523489932887
THAT	7.1925	0.24	4.827181208053691	0.1610738255033557
ROOM	7.4325	0.41	4.9882550335570475	0.2751677852348993
ON	7.8425	0.14	5.2634228187919465	0.09395973154362416
HER	7.9825	0.2	5.35738255033557	0.1342281879194631
SIDE	8.1825	1.41	5.491610738255033	0.9463087248322147
YOU	9.5925	0.06	6.437919463087248	0.040268456375838924
COULD	9.7425	0.1	6.5385906040268456	0.06711409395973154
FIT	9.8425	0.34	6.605704697986577	0.22818791946308728
A	10.1825	0.04	6.833892617449664	0.026845637583892617
GIANT	10.2225	0.36	6.860738255033557	0.24161073825503354
PENGUIN	10.5825	0.37	7.10234899328859	0.2483221476510067
OVER	10.9525	0.2	7.350671140939598	0.1342281879194631
THERE	11.1525	0.25	7.48489932885906	0.16778523489932887
THAT	11.6825	0.92	7.840604026845637	0.6174496644295302
WOULD	13.8125	0.1	9.270134228187919	0.06711409395973154
BE	13.9125	0.14	9.337248322147651	0.09395973154362416
WEIRD	14.0525	0.24	9.431208053691275	0.1610738255033557
THOUGH	14.2925	0.16	9.592281879194632	0.10738255033557047
OKAY	15.0325	0.11	10.088926174496645	0.0738255033557047
HUG	15.1425	2.05	10.162751677852349	1.3758389261744965
AND	17.1925	0.11	11.538590604026846	0.0738255033557047
ROLL	17.3025	0.23	11.612416107382549	0.15436241610738255
TIME	17.5325	0.3	11.766778523489933	0.20134228187919462
I'M	18.7825	0.14	12.605704697986576	0.09395973154362416
HUGGING	18.9225	0.48	12.699664429530202	0.3221476510067114
I'M	19.8325	0.25	13.310402684563758	0.16778523489932887
HUGGING	20.0825	0.43	13.478187919463087	0.2885906040268456
YOU'RE	21.2425	0.73	14.256711409395972	0.4899328859060403
ROLLING	21.9725	0.67	14.746644295302014	0.44966442953020136
AND	22.6425	0.53	15.196308724832214	0.3557046979865772
YES	24.1925	0.49	16.23657718120805	0.32885906040268453
FREEDOM	24.8925	0.46	16.706375838926174	0.3087248322147651
EXCEPT	26.5225	0.54	17.800335570469798	0.36241610738255037
FOR	27.0625	0.1	18.16275167785235	0.06711409395973154
THIS	27.1625	0.27	18.229865771812083	0.18120805369127518
ARM	27.4325	0.33	18.411073825503358	0.2214765100671141
ARM	28.4425	0.93	19.088926174496645	0.6241610738255033
STUCK	29.4025	0.26	19.733221476510067	0.174496644295302
STUCK	30.2025	0.3	20.27013422818792	0.20134228187919462
ARM	30.5025	0.24	20.471476510067117	0.1610738255033557
OKAY	33.2825	0.27	22.33724832214765	0.18120805369127518
TIME	33.7625	0.22	22.659395973154364	0.1476510067114094
FOR	33.9825	0.07	22.807046979865774	0.04697986577181208
THE	34.0525	0.09	22.854026845637584	0.060402684563758385
OLD	34.1425	0.15	22.914429530201343	0.10067114093959731
TABLECLOTH	34.2925	0.6	23.01510067114094	0.40268456375838924
TRICK	34.9325	0.39	23.44463087248322	0.26174496644295303
ONE	35.6425	0.2	23.921140939597315	0.1342281879194631
FLUID	35.8425	0.31	24.05536912751678	0.2080536912751678
MOTION	36.1525	0.35	24.26342281879195	0.2348993288590604
QUICK	36.5025	0.22	24.498322147651006	0.1476510067114094
LIKE	36.7225	0.15	24.645973154362412	0.10067114093959731
A	36.8725	0.03	24.746644295302016	0.020134228187919462
CAT	36.9025	0.26	24.766778523489936	0.174496644295302
QUICK	37.2125	0.23	24.9748322147651	0.15436241610738255
LIKE	37.4425	0.23	25.129194630872487	0.15436241610738255
A	37.6725	0.03	25.283557046979865	0.020134228187919462
CAT	37.7025	0.2	25.303691275167786	0.1342281879194631
AND	38.1325	0.28	25.59228187919463	0.18791946308724833
ONE	38.4125	0.89	25.78020134228188	0.5973154362416108
TWO	40.4725	0.57	27.16275167785235	0.38255033557046975
THREE	41.9425	0.31	28.149328859060404	0.2080536912751678
AND	43.0625	0.11	28.901006711409398	0.0738255033557047
HERE'S	43.2125	8.89	29.001677852348994	5.966442953020135
MY	52.1025	0.17	34.968120805369125	0.11409395973154364
BINOCULARS	52.2725	0.8	35.08221476510067	0.5369127516778524
OH	53.9625	0.03	36.216442953020135	0.020134228187919462
GREAT	54.5025	0.34	36.578859060402685	0.22818791946308728
YOU'RE	55.3625	0.1	37.15604026845637	0.06711409395973154
DOING	55.4625	0.17	37.2231543624161	0.11409395973154364
GREAT	55.6325	0.33	37.33724832214765	0.2214765100671141
YOU	55.9625	0.06	37.558724832214764	0.040268456375838924
KNOW	56.0225	0.15	37.598993288590606	0.10067114093959731
REAL	56.1725	0.19	37.6996644295302	0.12751677852348994
STRONG	56.3625	0.6	37.82718120805369	0.40268456375838924
GOING	56.9625	0.2	38.22986577181208	0.1342281879194631
STRONG	57.1625	0.39	38.36409395973155	0.26174496644295303
KEEP	57.7025	0.15	38.72651006711409	0.10067114093959731
GOING	57.8525	0.28	38.82718120805369	0.18791946308724833
THESE	59.8625	0.2	40.17617449664429	0.1342281879194631
ARE	60.0625	0.03	40.31040268456376	0.020134228187919462
MY	60.0925	0.15	40.330536912751676	0.10067114093959731
NIGHT	60.2425	0.31	40.43120805369127	0.2080536912751678
VISION	60.5525	0.27	40.63926174496645	0.18120805369127518
GOGGLES	60.8225	0.57	40.82046979865772	0.38255033557046975
OH	61.8825	0.78	41.531879194630875	0.5234899328859061
THIS	63.0025	0.18	42.283557046979865	0.12080536912751677
IS	63.1825	0.14	42.40436241610738	0.09395973154362416
THE	63.3225	0.08	42.498322147651	0.053691275167785234
BOOK	63.4025	0.28	42.552013422818796	0.18791946308724833
I	63.6825	0.06	42.739932885906036	0.040268456375838924
PRETEND	63.7425	0.39	42.78020134228188	0.26174496644295303
TO	64.1325	0.06	43.041946308724825	0.040268456375838924
READ	64.1925	0.24	43.082214765100666	0.1610738255033557
WHEN	64.4325	0.13	43.24328859060403	0.087248322147651
