word	onset	duration	onset_TRs	duration_TRs
HI	0.0125	0.06	0.008389261744966443	0.040268456375838924
YOU	0.0725	2.31	0.04865771812080537	1.5503355704697988
GUYS	2.3825	0.1	1.598993288590604	0.06711409395973154
HI	2.4825	1.23	1.6661073825503356	0.825503355704698
WHAT'S	3.7125	0.63	2.4916107382550337	0.4228187919463087
THE	4.4725	0.22	3.0016778523489935	0.1476510067114094
MATTER	4.8525	1.19	3.2567114093959733	0.7986577181208053
WELL	6.5525	0.17	4.39765100671141	0.11409395973154364
IT'S	6.7225	0.23	4.511744966442953	0.15436241610738255
JUST	6.9525	0.18	4.666107382550336	0.12080536912751677
IT'S	7.1325	0.17	4.7869127516778525	0.11409395973154364
ONE	7.3025	0.14	4.901006711409396	0.09395973154362416
OF	7.4425	0.08	4.99496644295302	0.053691275167785234
TH	7.5225	0.14	5.048657718120805	0.09395973154362416
ESE	7.6625	0.16	5.14261744966443	0.10738255033557047
SITUATIONS	7.8225	0.67	5.25	0.44966442953020136
THAT	8.4925	0.12	5.699664429530201	0.08053691275167785
I	8.6125	0.09	5.78020134228188	0.060402684563758385
JUST	8.7025	0.24	5.840604026845638	0.1610738255033557
HATE	8.9425	0.4	6.001677852348994	0.2684563758389262
YOU	9.7325	0.09	6.531879194630872	0.060402684563758385
KNOW	9.8225	0.17	6.592281879194631	0.11409395973154364
A	9.9925	0.04	6.706375838926174	0.026845637583892617
MASSAGE	10.0325	0.46	6.733221476510067	0.3087248322147651
CLIENT	10.4925	0.37	7.041946308724832	0.2483221476510067
GAVE	10.8625	0.13	7.2902684563758395	0.087248322147651
ME	10.9925	0.23	7.37751677852349	0.15436241610738255
THREE	11.3725	0.37	7.63255033557047	0.2483221476510067
TICKETS	11.7425	0.62	7.880872483221476	0.4161073825503356
TO	12.6525	0.07	8.491610738255034	0.04697986577181208
THE	12.7225	0.08	8.538590604026846	0.053691275167785234
HELMUT	12.8025	0.32	8.592281879194632	0.21476510067114093
PELTZ	13.1225	0.33	8.807046979865772	0.2214765100671141
EXHIBIT	13.4525	0.39	9.028523489932887	0.26174496644295303
AT	13.8425	0.13	9.290268456375838	0.087248322147651
THE	13.9725	0.06	9.377516778523491	0.040268456375838924
MORGAN	14.0325	0.31	9.417785234899329	0.2080536912751678
CHASE	14.3425	0.31	9.625838926174497	0.2080536912751678
MUSEUM	14.6525	0.41	9.833892617449665	0.2751677852348993
NOW	15.3925	0.13	10.330536912751677	0.087248322147651
