word	onset	duration	onset_TRs	duration_TRs
HEY	0.0125	0.06	0.008389261744966443	0.040268456375838924
REMEMBER	0.0725	6.67	0.04865771812080537	4.476510067114094
WHEN	6.7425	0.16	4.525167785234899	0.10738255033557047
I	6.9025	0.13	4.632550335570469	0.087248322147651
HAD	7.0325	0.13	4.719798657718121	0.087248322147651
A	7.1625	0.04	4.807046979865771	0.026845637583892617
MONKEY	7.2025	0.55	4.833892617449664	0.3691275167785235
YEAH	8.2025	0.06	5.50503355704698	0.040268456375838924
MM	8.2625	0.43	5.545302013422818	0.2885906040268456
HMM	8.6925	0.37	5.833892617449665	0.2483221476510067
YEAH	9.5825	0.2	6.431208053691275	0.1342281879194631
WHAT	9.7825	0.12	6.565436241610739	0.08053691275167785
WHAT	9.9025	0.2	6.645973154362416	0.1342281879194631
WAS	10.1525	0.38	6.813758389261745	0.2550335570469799
I	10.5325	0.08	7.068791946308726	0.053691275167785234
THINKING	10.6125	0.44	7.122483221476511	0.2953020134228188
HEY	11.3425	1.96	7.61241610738255	1.3154362416107381
SO	14.0325	0.37	9.417785234899329	0.2483221476510067
WHAT'S	14.9925	0.17	10.062080536912752	0.11409395973154364
WITH	15.1625	0.09	10.176174496644295	0.060402684563758385
THE	15.2525	0.08	10.236577181208053	0.053691275167785234
20	15.3325	0.26	10.29026845637584	0.174496644295302
PERCANTGE	15.5925	0.45	10.46476510067114	0.30201342281879195
TIP	16.0425	0.18	10.766778523489933	0.12080536912751677
DID	16.8125	0.11	11.283557046979865	0.0738255033557047
I	16.9225	0.03	11.35738255033557	0.020134228187919462
DO	16.9525	0.1	11.377516778523491	0.06711409395973154
SOMETHING	17.0525	0.31	11.44463087248322	0.2080536912751678
WRONG	17.3625	0.37	11.65268456375839	0.2483221476510067
20	18.0625	0.99	12.12248322147651	0.6644295302013423
PRECENTAGE	19.0525	0.51	12.786912751677852	0.3422818791946309
IS	19.5625	0.23	13.129194630872483	0.15436241610738255
A	19.7925	0.03	13.283557046979865	0.020134228187919462
PRETTY	19.8225	0.21	13.303691275167786	0.14093959731543623
GENEROUS	20.0325	0.44	13.44463087248322	0.2953020134228188
TIP	20.4725	0.31	13.73993288590604	0.2080536912751678
JOE	20.7825	0.18	13.947986577181208	0.12080536912751677
WELL	20.9625	0.12	14.068791946308725	0.08053691275167785
YOU	21.3425	0.09	14.323825503355705	0.060402684563758385
KNOW	21.4325	0.17	14.384228187919463	0.11409395973154364
WHAT'S	21.6025	0.66	14.498322147651006	0.4429530201342282
MORE	22.2625	0.26	14.941275167785234	0.174496644295302
GENEROUS	22.6825	0.47	15.223154362416109	0.31543624161073824
THAN	23.1525	0.22	15.538590604026846	0.1476510067114094
THAT	23.5125	1.7	15.78020134228188	1.1409395973154361
50	25.2125	0.18	16.921140939597315	0.12080536912751677
YOU	25.3925	0.09	17.04194630872483	0.060402684563758385
KNOW	25.4825	0.07	17.10234899328859	0.04697986577181208
WHAT'S	25.5525	0.14	17.1493288590604	0.09395973154362416
EVEN	25.6925	0.14	17.243288590604028	0.09395973154362416
MORE	25.8325	0.19	17.33724832214765	0.12751677852348994
GENEROUS	26.0225	0.29	17.46476510067114	0.19463087248322147
THAN	26.3125	0.09	17.659395973154364	0.060402684563758385
THAT	26.4025	0.26	17.719798657718123	0.174496644295302
I	26.6625	0.15	17.894295302013425	0.10067114093959731
SEE	26.8125	0.2	17.99496644295302	0.1342281879194631
WHERE	27.0125	0.17	18.129194630872483	0.11409395973154364
YOU'RE	27.1825	0.1	18.243288590604028	0.06711409395973154
GOING	27.2825	0.37	18.31040268456376	0.2483221476510067
WHAT'S	28.0225	1.8	18.807046979865774	1.2080536912751678
UP	29.8225	0.14	20.015100671140942	0.09395973154362416
WITH	29.9625	0.13	20.109060402684563	0.087248322147651
THE	30.0925	0.08	20.196308724832214	0.053691275167785234
GREED	30.1725	0.39	20.25	0.26174496644295303
JOE	30.5625	0.3	20.511744966442954	0.20134228187919462
ALL	30.8625	0.09	20.713087248322147	0.060402684563758385
RIGHT	31.3225	0.22	21.021812080536915	0.1476510067114094
LOOK	31.7225	0.13	21.290268456375838	0.087248322147651
I'M	31.8525	0.15	21.37751677852349	0.10067114093959731
SORRY	32.0025	0.43	21.478187919463085	0.2885906040268456
YOU	32.4325	0.06	21.766778523489933	0.040268456375838924
GUYS	32.4925	0.32	21.80704697986577	0.21476510067114093
BUT	32.8425	0.1	22.04194630872483	0.06711409395973154
IT'S	32.9425	0.14	22.109060402684566	0.09395973154362416
JUST	33.0825	0.16	22.20302013422819	0.10738255033557047
THAT	33.2425	0.14	22.31040268456376	0.09395973154362416
I	34.0225	0.04	22.833892617449663	0.026845637583892617
GOT	34.0625	0.1	22.860738255033556	0.06711409395973154
TO	34.1625	0.06	22.92785234899329	0.040268456375838924
GET	34.2225	0.17	22.968120805369125	0.11409395973154364
THESE	34.3925	0.21	23.08221476510067	0.14093959731543623
NEW	34.6025	0.2	23.223154362416107	0.1342281879194631
HEAD	34.8025	0.28	23.357382550335572	0.18791946308724833
SHOTS	35.0825	0.4	23.54530201342282	0.2684563758389262
MADE	35.4825	0.28	23.813758389261746	0.18791946308724833
AND	35.7625	0.09	24.001677852348994	0.060402684563758385
THEY'RE	35.8525	0.1	24.062080536912752	0.06711409395973154
REALLY	35.9525	0.26	24.129194630872483	0.174496644295302
EXPENSIVE	36.2125	0.71	24.303691275167786	0.47651006711409394
YOU	36.9225	0.06	24.780201342281877	0.040268456375838924
KNOW	36.9825	0.28	24.82046979865772	0.18791946308724833
I'M	37.5625	0.09	25.209731543624162	0.060402684563758385
DOWN	37.6525	0.23	25.27013422818792	0.15436241610738255
TO	37.8825	0.06	25.424496644295303	0.040268456375838924
LIKE	37.9425	0.2	25.464765100671144	0.1342281879194631
THREE	38.1425	0.46	25.598993288590602	0.3087248322147651
ACTUALLY	39.8525	0.97	26.746644295302012	0.6510067114093959
TWO	40.8225	0.37	27.39765100671141	0.2483221476510067
BECAUSE	41.1925	0.31	27.64597315436242	0.2080536912751678
ONE	41.5025	0.15	27.854026845637584	0.10067114093959731
OF	41.6525	0.1	27.954697986577184	0.06711409395973154
THEM	41.7525	0.24	28.02181208053691	0.1610738255033557
I	41.9925	0.08	28.18288590604027	0.053691275167785234
KIND	42.4825	0.2	28.511744966442954	0.1342281879194631
OF	42.6825	0.07	28.645973154362416	0.04697986577181208
BLACKENED	42.7525	0.4	28.692953020134226	0.2684563758389262
IN	43.1525	0.08	28.961409395973156	0.053691275167785234
SOME	43.2325	0.21	29.015100671140942	0.14093959731543623
TEETH	43.4425	0.33	29.156040268456376	0.2214765100671141
WHY'D	43.7725	0.21	29.37751677852349	0.14093959731543623
I	43.9825	0.04	29.518456375838927	0.026845637583892617
DO	44.0225	0.25	29.54530201342282	0.16778523489932887
THAT	44.2725	1.61	29.713087248322147	1.080536912751678
GOD	46.3325	0.21	31.09563758389262	0.14093959731543623
WELL	46.5425	0.22	31.23657718120805	0.1476510067114094
ISN'T	47.1525	0.22	31.64597315436242	0.1476510067114094
THERE	47.3725	0.12	31.793624161073826	0.08053691275167785
SOMETHING	47.4925	0.38	31.874161073825505	0.2550335570469799
YOU	47.8725	0.12	32.12919463087248	0.08053691275167785
CAN	47.9925	0.14	32.20973154362416	0.09395973154362416
DO	48.1325	0.14	32.303691275167786	0.09395973154362416
TO	48.2725	0.13	32.39765100671141	0.087248322147651
EARN	48.4025	0.15	32.484899328859065	0.10067114093959731
A	48.5525	0.03	32.58557046979866	0.020134228187919462
LITTLE	48.5825	0.37	32.60570469798658	0.2483221476510067
EXTRA	48.9525	0.3	32.854026845637584	0.20134228187919462
MONEY	49.2525	0.41	33.05536912751678	0.2751677852348993
I	49.6625	0.03	33.330536912751676	0.020134228187919462
MEAN	49.6925	0.13	33.350671140939596	0.087248322147651
CAN'T	49.8225	0.33	33.43791946308725	0.2214765100671141
YOU	50.1525	0.21	33.65939597315437	0.14093959731543623
PICK	50.3625	0.18	33.8003355704698	0.12080536912751677
UP	50.5425	0.33	33.921140939597315	0.2214765100671141
I	50.8725	0.04	34.14261744966443	0.026845637583892617
DON'T	50.9125	0.1	34.169463087248324	0.06711409395973154
KNOW	51.0125	0.12	34.236577181208055	0.08053691275167785
AN	51.1325	0.06	34.31711409395973	0.040268456375838924
EXTRA	51.1925	0.29	34.35738255033557	0.19463087248322147
SHIFT	51.4825	0.34	34.552013422818796	0.22818791946308728
HERE	51.8225	0.23	34.78020134228188	0.15436241610738255
OR	52.8725	0.39	35.484899328859065	0.26174496644295303
YOU	53.7925	0.11	36.10234899328859	0.0738255033557047
KNOW	53.9025	0.15	36.1761744966443	0.10067114093959731
I	54.0525	0.17	36.2768456375839	0.11409395973154364
US	54.2225	0.18	36.39093959731544	0.12080536912751677
ED	54.4025	0.06	36.511744966442954	0.040268456375838924
TO	54.4625	0.07	36.55201342281879	0.04697986577181208
BEG	54.5325	0.37	36.598993288590606	0.2483221476510067
FOR	54.9025	0.17	36.847315436241615	0.11409395973154364
MONEY	55.0725	0.46	36.961409395973156	0.3087248322147651
OF	56.1625	1.59	37.692953020134226	1.0671140939597317
COURSE	57.7525	0.3	38.76006711409396	0.20134228187919462
IT	58.0525	0.13	38.961409395973156	0.087248322147651
HELPS	58.1825	0.3	39.0486577181208	0.20134228187919462
IF	58.4825	0.13	39.25	0.087248322147651
YOU'VE	58.6125	0.14	39.33724832214765	0.09395973154362416
GOT	58.7525	0.21	39.43120805369127	0.14093959731543623
A	58.9625	0.11	39.57214765100671	0.0738255033557047
LITTLE	59.0725	0.32	39.645973154362416	0.21476510067114093
OF	59.3925	0.08	39.86073825503355	0.053691275167785234
THIS	59.4725	0.26	39.91442953020134	0.174496644295302
GOING	59.7325	0.25	40.08892617449665	0.16778523489932887
ON	59.9825	0.26	40.256711409395976	0.174496644295302
WOW	60.2425	1.45	40.43120805369127	0.9731543624161073
I	61.6925	0.1	41.40436241610738	0.06711409395973154
